,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Fwd IAT Std,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Min,Fwd PSH Flags,Bwd Pkts/s,Pkt Len Var,FIN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,Down/Up Ratio,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Idle Mean,Idle Std
Dst Port,1.0,-0.2005771143291653,-0.11887487809935507,-0.03946537881619516,-0.024827617922365926,-0.012379340173428408,-0.2056922601949554,-0.17672559015489403,-0.24190008781718791,-0.25105963244767493,-0.1907750099720008,-0.2280389789725629,0.10806840886313011,0.16935804253154307,-0.05777518005802846,-0.08156473820903325,-0.09650547591355912,-0.07955136823628878,-0.10135676375127173,-0.079244533300041,-0.08967835565224519,-0.01707136392742963,0.1567960693037411,-0.026857342235562996,-0.09191739018333049,0.0899875614369107,-0.03873732459310385,-0.3113694736171919,0.5780621439309294,0.4131586011774627,-0.14829436633898896,-0.10593277992144316,-0.0395936198575334,-0.19172567721841202,0.0279636554085274,-0.012228276359618345,-0.037797085393640135,-0.029435565968483318,-0.06427911780987154,-0.01004503050366086
Protocol,-0.2005771143291653,1.0,-0.24882442904965385,-0.07297814110373145,-0.03672661558861638,-0.02135286390191761,-0.32884241730817937,0.8443973972402462,-0.06555875419025457,-0.3419513351930809,0.8497743706586434,-0.04719687218895183,-0.013978288112473421,-0.11283438077160902,-0.18179738561462314,-0.13635595701074482,-0.22226156956828286,-0.13326213213321186,-0.16094793642069583,-0.12392244946068964,-0.1426449494710259,-0.026412930796575307,-0.10103080387925928,-0.09698699345842798,-0.16103389655873332,-0.03573218669418703,-0.12796182632218064,-0.5394476752787799,-0.31198870158874,-0.14243887458131693,0.38591512551459484,-0.3799219887142901,-0.2151699187437718,-0.3136127218414814,-0.6762449463094686,-0.05426450481505689,-0.06460070214741379,-0.07503076236873564,-0.18687839091987293,-0.03581295886449424
Flow Duration,-0.11887487809935507,-0.24882442904965385,1.0,0.11357215589558842,0.0929170418502736,0.01400627805907618,0.14186614506394657,-0.1697470022742626,0.017326311420770013,0.2835964308192413,-0.18151874074895785,0.31006774172691326,-0.0265086496903581,-0.07958637181875884,0.47602220558163066,0.5956095391479489,0.7489005891309628,0.6259953785478702,0.8434257863972762,0.5511468321508115,0.6319378427240149,0.10187595999520557,-0.009250184149508522,-0.06939941190337247,0.2390963847073341,-0.023766819959466664,-0.056454457228991305,0.13863169238891931,-0.029109923215921815,-0.09126460807368186,-0.08218499013688259,-0.03887072015769801,-0.07264971097669672,0.24941305757286308,-0.06372306005042273,0.16528698377656617,0.3243216829026219,0.30368982630194347,0.7227790050585617,0.1708791387834778
Tot Fwd Pkts,-0.03946537881619516,-0.07297814110373145,0.11357215589558842,1.0,0.8913396167016007,0.05277585757228324,0.14427265337033154,-0.0652292209271226,0.06547228445131638,0.16298094952318834,-0.05154122298130992,0.24568016353847905,-0.006604911109571983,-0.02685459398925647,-0.01877503157944474,0.028806353362162737,0.0514911608157228,0.04034104102123634,0.13986189089581313,0.023989085026791274,0.04511816684847828,-0.00348063097417699,0.02723389785414942,-0.024934538011076385,0.13751580741851555,-0.007885324262225404,0.007286183361672879,0.10384349297299421,-0.041774367226150466,-0.034306442789678294,0.029482329594492776,0.0733123232447206,0.011859570833518114,0.25078542384143626,0.07248122346518046,0.08970533063211422,0.09815103282911032,0.12296131588238618,0.07345375674201983,0.03640867266468124
Tot Bwd Pkts,-0.024827617922365926,-0.03672661558861638,0.0929170418502736,0.8913396167016007,1.0,0.05475163004917907,0.0826805155093441,-0.03367412416130008,0.02771117404893277,0.10453624516905712,-0.01975943752925406,0.23422661252267132,-0.003793940255386638,-0.015057264301955468,-0.014331728766397893,0.014438858873167322,0.05047393949104961,0.022530468367617434,0.11498014873770361,0.00826890069829613,0.025174112655552534,-0.0024749845553435996,0.030256823201864375,-0.012541063339033503,0.11984307476853032,-0.004519822361507135,-0.0024321592560875146,0.052809309190706005,-0.01908173888983781,-0.017540364824003705,0.1314247490210159,0.02928026438823602,-0.0010922135444319065,0.17247544973244716,0.03172240981747322,0.09492743931234517,0.08690370818680247,0.12073911992361573,0.06894035438409232,0.030587694183163615
TotLen Fwd Pkts,-0.012379340173428408,-0.02135286390191761,0.01400627805907618,0.05277585757228324,0.05475163004917907,1.0,0.32928251430532585,-0.017874715252148968,0.3563371751538032,0.05191560360042666,-0.019079131859136435,0.03260598836492569,0.005342265862643936,-0.008929676902596086,-0.007700646771351163,0.00805974615916863,0.005239868118168474,0.01210399681781187,0.018808893006913026,0.004655306383116065,0.010674466142824806,-0.0015005688007326623,-0.0032536173798372627,-0.007811912400982347,0.6819269159371529,-0.002760788400442814,0.01119703380433075,0.038984515168838094,-0.02067476841254413,-0.010950834901443914,0.0018402432306826846,0.030504175384800332,0.01680455560054926,0.29145446736449754,0.024543953345886427,0.011912826948164403,0.016410837710441422,0.017980752432229935,0.006891526152291595,0.005553765793110382
Fwd Pkt Len Max,-0.2056922601949554,-0.32884241730817937,0.14186614506394657,0.14427265337033154,0.0826805155093441,0.32928251430532585,1.0,-0.28301361071898257,0.8500060406489408,0.8295048086636367,-0.29739302118844846,0.44927493892460996,-0.03331440767682162,-0.15212545993554444,-0.13008324300754684,0.11739764688664397,0.019714948142550252,0.16770734299153914,0.21751750491472643,0.10735871936653021,0.15754745930966804,-0.022238800593316104,-0.09641288178953074,-0.13461499176174488,0.553276983096174,-0.04763408550204137,0.34439319655379336,0.6599784969260755,-0.38568466490995107,-0.18923160939305814,-0.14659331588613272,0.4116053491189261,0.5032681313113063,0.7608473205790885,0.3322942308280939,0.06829016358423443,0.10279497499849904,0.11017423870338042,0.043994570565415156,0.03720546767431493
Fwd Pkt Len Min,-0.17672559015489403,0.8443973972402462,-0.1697470022742626,-0.0652292209271226,-0.03367412416130008,-0.017874715252148968,-0.28301361071898257,1.0,0.03352636225239951,-0.3099063017070128,0.7948228164602148,-0.036979596334287414,0.017442206349695503,-0.0924423808535691,-0.07992560318806761,-0.11389768575578955,-0.13832591092875376,-0.11444719489214095,-0.144837323644209,-0.10709213503738413,-0.1298125327710982,-0.01674449553878283,-0.06910659367088842,-0.07028909165057018,-0.1461998940956515,-0.03260379583348402,-0.1167586326466497,-0.49221845889710414,-0.2734203080177759,-0.12370518985167311,0.32888134398785196,-0.3459109445485601,-0.1962618243849544,-0.2854248010915631,-0.6252142137188851,-0.04445958623712337,-0.055067454146771284,-0.06306588513113066,-0.08710331578347338,-0.02634287287674675
Fwd Pkt Len Mean,-0.24190008781718791,-0.06555875419025457,0.017326311420770013,0.06547228445131638,0.02771117404893277,0.3563371751538032,0.8500060406489408,0.03352636225239951,1.0,0.6816965936655719,-0.04898693130712632,0.43068982875049083,-0.010728328742955498,-0.17748814129789017,-0.15986243274219822,0.08979496786488829,-0.011403333832942517,0.1422636017480951,0.0727941606526104,0.031418369930135026,0.08791224855183505,-0.01679580190056476,-0.0627271992420516,-0.15840900799932317,0.5194666889062962,-0.05879717583914961,0.338727076293444,0.48782896084189475,-0.44742421858632564,-0.23095889326566127,-0.059734040881429015,0.21561903665452195,0.5093242442029453,0.5118408964810388,0.052882174980967867,0.0629704406939377,0.06156118956872777,0.07870011913384416,-0.008364213715016926,0.03165134631603265
Bwd Pkt Len Max,-0.25105963244767493,-0.3419513351930809,0.2835964308192413,0.16298094952318834,0.10453624516905712,0.05191560360042666,0.8295048086636367,-0.3099063017070128,0.6816965936655719,1.0,-0.2892988058808598,0.7191121266545905,-0.04810274130678849,-0.1735272845698172,-0.13775658313314137,0.24547573054699165,0.13281796557841002,0.333395965883309,0.3874554849421921,0.1936034145506444,0.35208600384877625,-0.028006855453697986,-0.13984337015776993,-0.15042687103927938,0.47706736357181245,-0.05294659841546254,0.3234047856074544,0.7312938902711565,-0.4509745067160823,-0.2110084827571678,-0.09479019199082327,0.36224774485881406,0.4878559841953781,0.6765318104026583,0.2824048980611619,0.09171169754855409,0.1527308028454306,0.14526086874825864,0.18883652516259827,0.08474620500437431
