,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
Dst Port,1.0,-0.2005771143291653,-0.11887487809935507,-0.03946537881619516,-0.024827617922365926,-0.012379340173428408,-0.011977457098653646,-0.2056922601949554,-0.17672559015489403,-0.24190008781718791,-0.17946383326831275,-0.25105963244767493,-0.1907750099720008,-0.2280389789725629,-0.21565727920284153,0.10806840886313011,0.16935804253154307,-0.05777518005802846,-0.08156473820903325,-0.09650547591355912,-0.04711481969376457,-0.11512931939406634,-0.0654182467955034,-0.07955136823628878,-0.09145684215362714,-0.048592984748243896,-0.10135676375127173,-0.079244533300041,-0.08967835565224519,-0.08510017930847341,-0.01707136392742963,0.1567960693037411,-0.04359462474648993,-0.03017400845764434,0.23496312487835325,-0.026857342235562996,-0.18573422659584746,-0.24332451048933307,-0.2251583717776527,-0.23011145837886973,-0.09191739018333049,0.0899875614369107,0.1567960693037411,-0.03873732459310385,-0.3113694736171919,0.5780621439309294,0.4131586011774627,-0.03874746002570078,-0.14829436633898896,-0.24733891534328017,-0.24190008781718791,-0.2280389789725629,-0.03946537881619516,-0.012379340173428408,-0.024827617922365926,-0.011977457098653646,-0.10593277992144316,-0.0395936198575334,-0.19172567721841202,0.0279636554085274,-0.012228276359618345,-0.037797085393640135,-0.029435565968483318,-0.004631632955966746,-0.06427911780987154,-0.01004503050366086,-0.063002293235595,-0.06335790273738684
Protocol,-0.2005771143291653,1.0,-0.24882442904965385,-0.07297814110373145,-0.03672661558861638,-0.02135286390191761,-0.0183191291367298,-0.32884241730817937,0.8443973972402462,-0.06555875419025457,-0.39052493122037596,-0.3419513351930809,0.8497743706586434,-0.04719687218895183,-0.3963087539159326,-0.013978288112473421,-0.11283438077160902,-0.18179738561462314,-0.13635595701074482,-0.22226156956828286,-0.1635687240686361,-0.24293877116254697,-0.19172502058082097,-0.13326213213321186,-0.21537329474580133,-0.1641498656152537,-0.16094793642069583,-0.12392244946068964,-0.1426449494710259,-0.13692747098028243,-0.026412930796575307,-0.10103080387925928,-0.08295706309796179,-0.048380916754049055,-0.09899971564066581,-0.09698699345842798,0.8691550256423565,-0.3421078030414937,-0.08090761926110766,-0.306620529947517,-0.16103389655873332,-0.03573218669418703,-0.10103080387925928,-0.12796182632218064,-0.5394476752787799,-0.31198870158874,-0.14243887458131693,-0.12795978988375875,0.38591512551459484,0.013981586044626551,-0.06555875419025457,-0.04719687218895184,-0.07297814110373145,-0.02135286390191761,-0.03672661558861638,-0.0183191291367298,-0.3799219887142901,-0.2151699187437718,-0.3136127218414814,-0.6762449463094686,-0.05426450481505689,-0.06460070214741379,-0.07503076236873564,-0.04222528267209786,-0.18687839091987293,-0.03581295886449424,-0.18603898845593722,-0.18429110124837716
Flow Duration,-0.11887487809935507,-0.24882442904965385,1.0,0.11357215589558842,0.0929170418502736,0.01400627805907618,0.07723535149564809,0.14186614506394657,-0.1697470022742626,0.017326311420770013,0.15143471538577224,0.2835964308192413,-0.18151874074895785,0.31006774172691326,0.3045631207275241,-0.0265086496903581,-0.07958637181875884,0.47602220558163066,0.5956095391479489,0.7489005891309628,0.39646124714274894,0.9931310858630754,0.5376914073032366,0.6259953785478702,0.7443998198513274,0.40548348900489783,0.8434257863972762,0.5511468321508115,0.6319378427240149,0.6286570343409339,0.10187595999520557,-0.009250184149508522,0.09222629453153364,0.09466358956967025,-0.06933196210918374,-0.06939941190337247,-0.1737969511600018,0.2877503785062839,0.30144058821837694,0.3389394962766128,0.2390963847073341,-0.023766819959466664,-0.009250184149508522,-0.056454457228991305,0.13863169238891931,-0.029109923215921815,-0.09126460807368186,-0.05645337041620663,-0.08218499013688259,0.27230039787001165,0.017326311420770013,0.31006774172691326,0.11357215589558842,0.01400627805907618,0.0929170418502736,0.07723535149564809,-0.03887072015769801,-0.07264971097669672,0.24941305757286308,-0.06372306005042273,0.16528698377656617,0.3243216829026219,0.30368982630194347,0.10255940545212472,0.7227790050585617,0.1708791387834778,0.7230192592972404,0.7066618324334553
Tot Fwd Pkts,-0.03946537881619516,-0.07297814110373145,0.11357215589558842,1.0,0.8913396167016007,0.05277585757228324,0.8839614441201828,0.14427265337033154,-0.0652292209271226,0.06547228445131638,0.09917474163066718,0.16298094952318834,-0.05154122298130992,0.24568016353847905,0.10183940094639074,-0.006604911109571983,-0.02685459398925647,-0.01877503157944474,0.028806353362162737,0.0514911608157228,-0.021489890082122882,0.10742140455007526,-0.014360025799050637,0.04034104102123634,0.04023423721439608,-0.02168685352730921,0.13986189089581313,0.023989085026791274,0.04511816684847828,0.10841500879301309,-0.00348063097417699,0.02723389785414942,0.9861976873354227,0.8937321857392104,-0.0226344610013409,-0.024934538011076385,-0.06674656101383103,0.1651594869476901,0.27068264618354837,0.18307698805207615,0.13751580741851555,-0.007885324262225404,0.02723389785414942,0.007286183361672879,0.10384349297299421,-0.041774367226150466,-0.034306442789678294,0.007287088095213951,0.029482329594492776,0.2547399118668035,0.06547228445131638,0.24568016353847894,1.0,0.05277585757228324,0.8913396167016007,0.8839614441201828,0.0733123232447206,0.011859570833518114,0.25078542384143626,0.07248122346518046,0.08970533063211422,0.09815103282911032,0.12296131588238618,0.07049927739159345,0.07345375674201983,0.03640867266468124,0.07527737651668454,0.0693517967636253
Tot Bwd Pkts,-0.024827617922365926,-0.03672661558861638,0.0929170418502736,0.8913396167016007,1.0,0.05475163004917907,0.9973538585711765,0.0826805155093441,-0.03367412416130008,0.02771117404893277,0.04912968971247574,0.10453624516905712,-0.01975943752925406,0.23422661252267132,0.04900534161636445,-0.003793940255386638,-0.015057264301955468,-0.014331728766397893,0.014438858873167322,0.05047393949104961,-0.015091022641647394,0.08287350454195254,-0.012104249772380319,0.022530468367617434,0.031733895191724974,-0.015177201153750921,0.11498014873770361,0.00826890069829613,0.025174112655552534,0.09993411432124377,-0.0024749845553435996,0.030256823201864375,0.8938447517069309,0.9992958521850474,-0.013412167026189931,-0.012541063339033503,-0.03437848649052484,0.1083722863339977,0.27185056929351675,0.1338550109659709,0.11984307476853032,-0.004519822361507135,0.030256823201864375,-0.0024321592560875146,0.052809309190706005,-0.01908173888983781,-0.017540364824003705,-0.0024316588649306537,0.1314247490210159,0.25914956560880703,0.02771117404893277,0.2342266125226713,0.8913396167016007,0.05475163004917907,1.0,0.9973538585711765,0.02928026438823602,-0.0010922135444319065,0.17247544973244716,0.03172240981747322,0.09492743931234517,0.08690370818680247,0.12073911992361573,0.07819859087752082,0.06894035438409232,0.030587694183163615,0.07027140955749925,0.06566807882520358
TotLen Fwd Pkts,-0.012379340173428408,-0.02135286390191761,0.01400627805907618,0.05277585757228324,0.05475163004917907,1.0,0.016587165687655885,0.32928251430532585,-0.017874715252148968,0.3563371751538032,0.2550591453356624,0.05191560360042666,-0.019079131859136435,0.03260598836492569,0.039928429850179754,0.005342265862643936,-0.008929676902596086,-0.007700646771351163,0.00805974615916863,0.005239868118168474,-0.008306682884856392,0.014104160574681925,-0.006539203131518129,0.01210399681781187,0.005713022208216725,-0.00843422943967886,0.018808893006913026,0.004655306383116065,0.010674466142824806,0.014299134321595791,-0.0015005688007326623,-0.0032536173798372627,0.048530586171236186,0.06211424565012156,-0.0077664866099750205,-0.007811912400982347,-0.019451899488610334,0.20631152181573625,0.0806190125240326,0.11867038735090585,0.6819269159371529,-0.002760788400442814,-0.0032536173798372627,0.01119703380433075,0.038984515168838094,-0.02067476841254413,-0.010950834901443914,0.011197492615751434,0.0018402432306826846,0.07657593123288774,0.3563371751538032,0.032605988364925696,0.05277585757228324,1.0,0.054751630049179066,0.016587165687655885,0.030504175384800332,0.01680455560054926,0.29145446736449754,0.024543953345886427,0.011912826948164403,0.016410837710441422,0.017980752432229935,0.008812691505954507,0.006891526152291595,0.005553765793110382,0.007279649091244607,0.006271805436479989
TotLen Bwd Pkts,-0.011977457098653646,-0.0183191291367298,0.07723535149564809,0.8839614441201828,0.9973538585711765,0.016587165687655885,1.0,0.030802683852962438,-0.01671313131822234,-0.01059564985689664,0.007470551855489956,0.06314472862136923,-0.002955650150608056,0.2144267497877553,0.015558935429537457,-0.0015585380672396313,-0.007224136028418335,-0.0069697106988772005,0.006123633758263269,0.047662625294061844,-0.006681923865718545,0.06711217383176349,-0.0063084290428872085,0.011837904743219293,0.028594957620183426,-0.006810794626087332,0.0922234583520025,-0.0019365517973933483,0.010950394144103454,0.08414042840387444,-0.0019341537471807414,0.03627671716128606,0.8849444799972762,0.9945976192726853,-0.006299693678631735,-0.006286756472371841,-0.017043738052904323,0.06196375570152058,0.24641966941038076,0.09795018931706832,0.08313346288896895,-0.0021897925760420702,0.03627671716128606,-0.005571003314146679,0.01691141712433985,0.0012593116464923314,-0.008729075332044754,-0.005570846044572316,0.12312562557541681,0.23629080530176333,-0.01059564985689664,0.21442674978775525,0.8839614441201828,0.016587165687655885,0.9973538585711762,1.0,-0.00032453183472339666,-0.005508571885133515,0.11000856878435915,0.0047042947992077125,0.08688947755475913,0.0745694600462256,0.10807927994108944,0.07256364085240295,0.06065487125353216,0.02539052586147416,0.061679573987218114,0.05801595006570666
Fwd Pkt Len Max,-0.2056922601949554,-0.32884241730817937,0.14186614506394657,0.14427265337033154,0.0826805155093441,0.32928251430532585,0.030802683852962438,1.0,-0.28301361071898257,0.8500060406489408,0.9480792424992502,0.8295048086636367,-0.29739302118844846,0.44927493892460996,0.7489477681722099,-0.03331440767682162,-0.15212545993554444,-0.13008324300754684,0.11739764688664397,0.019714948142550252,-0.14282612104151612,0.1433603369135879,-0.1094489242952356,0.16770734299153914,0.02699189767471351,-0.145023300312647,0.21751750491472643,0.10735871936653021,0.15754745930966804,0.15122075818112946,-0.022238800593316104,-0.09641288178953074,0.1629800379305429,0.10563777649024203,-0.1315421846805286,-0.13461499176174488,-0.29232578751227845,0.8813962813364408,0.5508142359832091,0.7535293208715614,0.553276983096174,-0.04763408550204137,-0.09641288178953074,0.34439319655379336,0.6599784969260755,-0.38568466490995107,-0.18923160939305814,0.3444032753173445,-0.14659331588613272,0.5205422533072755,0.8500060406489408,0.44927493892460996,0.14427265337033154,0.3292825143053259,0.0826805155093441,0.030802683852962445,0.4116053491189261,0.5032681313113063,0.7608473205790885,0.3322942308280939,0.06829016358423443,0.10279497499849904,0.11017423870338042,0.049824998562590615,0.043994570565415156,0.03720546767431493,0.04628368254645209,0.038604086373257
Fwd Pkt Len Min,-0.17672559015489403,0.8443973972402462,-0.1697470022742626,-0.0652292209271226,-0.03367412416130008,-0.017874715252148968,-0.01671313131822234,-0.28301361071898257,1.0,0.03352636225239951,-0.35515212824695647,-0.3099063017070128,0.7948228164602148,-0.036979596334287414,-0.36130115938334806,0.017442206349695503,-0.0924423808535691,-0.07992560318806761,-0.11389768575578955,-0.13832591092875376,-0.06530239376451528,-0.16414492214175577,-0.08898712367015467,-0.11444719489214095,-0.1311491815200185,-0.06521189525387198,-0.144837323644209,-0.10709213503738413,-0.1298125327710982,-0.12300379262576269,-0.01674449553878283,-0.06910659367088842,-0.07558795126681497,-0.04417070658168946,-0.08570121475613476,-0.07028909165057018,0.977788096725857,-0.30569924788586905,-0.0353223407120684,-0.282583085662862,-0.1461998940956515,-0.03260379583348402,-0.06910659367088842,-0.1167586326466497,-0.49221845889710414,-0.2734203080177759,-0.12370518985167311,-0.11675677450057263,0.32888134398785196,0.06691292845303133,0.03352636225239951,-0.03697959633428741,-0.0652292209271226,-0.017874715252148968,-0.03367412416130008,-0.01671313131822234,-0.3459109445485601,-0.1962618243849544,-0.2854248010915631,-0.6252142137188851,-0.04445958623712337,-0.055067454146771284,-0.06306588513113066,-0.034280515710560636,-0.08710331578347338,-0.02634287287674675,-0.08751420392060799,-0.08437264437833275
Fwd Pkt Len Mean,-0.24190008781718791,-0.06555875419025457,0.017326311420770013,0.06547228445131638,0.02771117404893277,0.3563371751538032,-0.01059564985689664,0.8500060406489408,0.03352636225239951,1.0,0.8799688089911103,0.6816965936655719,-0.04898693130712632,0.43068982875049083,0.6371985570165807,-0.010728328742955498,-0.17748814129789017,-0.15986243274219822,0.08979496786488829,-0.011403333832942517,-0.16567548837670554,0.018695126648074857,-0.14645314944831217,0.1422636017480951,-0.003994410398567796,-0.16722422243232785,0.0727941606526104,0.031418369930135026,0.08791224855183505,0.08339286295822396,-0.01679580190056476,-0.0627271992420516,0.07253669754946283,0.039781785450124625,-0.15279660192557365,-0.15840900799932317,0.014426677774658342,0.7445360442524086,0.5575171855670288,0.6660605310852813,0.5194666889062962,-0.05879717583914961,-0.0627271992420516,0.338727076293444,0.48782896084189475,-0.44742421858632564,-0.23095889326566127,0.3387382822502138,-0.059734040881429015,0.5682396873592959,1.0,0.43068982875049083,0.06547228445131638,0.3563371751538032,0.027711174048932766,-0.010595649856896646,0.21561903665452195,0.5093242442029453,0.5118408964810388,0.052882174980967867,0.0629704406939377,0.06156118956872777,0.07870011913384416,0.05155233231562875,-0.008364213715016926,0.03165134631603265,-0.004913774953700743,-0.0120211993512911
