Feature 1,Feature 2,Absolute Correlation
Bwd Pkt Len Mean,Bwd Seg Size Avg,1.0
Fwd Pkt Len Mean,Fwd Seg Size Avg,1.0
Tot Bwd Pkts,Subflow Bwd Pkts,1.0
Tot Fwd Pkts,Subflow Fwd Pkts,1.0
TotLen Bwd Pkts,Subflow Bwd Byts,1.0
Fwd PSH Flags,SYN Flag Cnt,1.0
TotLen Fwd Pkts,Subflow Fwd Byts,1.0
RST Flag Cnt,ECE Flag Cnt,0.9999840855786768
Bwd Header Len,Subflow Bwd Pkts,0.9992958521850474
Tot Bwd Pkts,Bwd Header Len,0.9992958521850474
Tot Bwd Pkts,TotLen Bwd Pkts,0.9973538585711765
Tot Bwd Pkts,Subflow Bwd Byts,0.9973538585711765
Subflow Bwd Pkts,Subflow Bwd Byts,0.9973538585711765
TotLen Bwd Pkts,Subflow Bwd Pkts,0.9973538585711762
TotLen Bwd Pkts,Bwd Header Len,0.9945976192726853
Bwd Header Len,Subflow Bwd Byts,0.9945976192726853
Idle Mean,Idle Min,0.9943017600278906
Idle Mean,Idle Max,0.9940386350051547
Pkt Len Mean,Pkt Size Avg,0.9931444532574311
Flow Duration,Fwd IAT Tot,0.9931310858630754
Flow IAT Min,Fwd IAT Min,0.9915564241851132
Flow IAT Mean,Flow IAT Min,0.9868829832468182
Flow IAT Mean,Fwd IAT Mean,0.986723062634891
Fwd Header Len,Subflow Fwd Pkts,0.9861976873354228
Tot Fwd Pkts,Fwd Header Len,0.9861976873354227
Flow IAT Mean,Fwd IAT Min,0.9850292762413606
Fwd IAT Mean,Fwd IAT Min,0.9823934930024694
Bwd Pkt Len Max,Pkt Len Max,0.9814899925940112
Flow IAT Max,Fwd IAT Max,0.9784561688484142
Fwd Pkt Len Min,Pkt Len Min,0.977788096725857
Idle Max,Idle Min,0.9776490074940004
Flow IAT Min,Fwd IAT Mean,0.9735476262004995
Active Mean,Active Min,0.9705066597836627
Pkt Len Mean,Bwd Seg Size Avg,0.9664011949564579
Bwd Pkt Len Mean,Pkt Len Mean,0.9664011949564578
Bwd Pkt Len Max,Bwd Pkt Len Std,0.9643547940893492
Bwd Pkt Len Mean,Pkt Size Avg,0.9636370049785665
Pkt Size Avg,Bwd Seg Size Avg,0.9636370049785665
Bwd Pkt Len Std,Pkt Len Std,0.9620781792568157
Fwd Pkt Len Max,Fwd Pkt Len Std,0.9480792424992502
Bwd Pkt Len Std,Pkt Len Max,0.9467571785776432
Pkt Len Max,Pkt Len Std,0.9454892505959684
Bwd Pkt Len Max,Pkt Len Std,0.9418337456663247
Flow Pkts/s,Fwd Pkts/s,0.9403355661148635
Bwd IAT Std,Bwd IAT Max,0.9165511654014852
Fwd Header Len,Bwd Header Len,0.8980499872039619
Tot Bwd Pkts,Fwd Header Len,0.8938447517069309
Fwd Header Len,Subflow Bwd Pkts,0.8938447517069308
Tot Fwd Pkts,Bwd Header Len,0.8937321857392104
Bwd Header Len,Subflow Fwd Pkts,0.8937321857392104
Tot Fwd Pkts,Tot Bwd Pkts,0.8913396167016007
Subflow Fwd Pkts,Subflow Bwd Pkts,0.8913396167016007
Tot Bwd Pkts,Subflow Fwd Pkts,0.8913396167016007
Tot Fwd Pkts,Subflow Bwd Pkts,0.8913396167016007
Fwd Header Len,Subflow Bwd Byts,0.8849444799972762
TotLen Bwd Pkts,Fwd Header Len,0.8849444799972762
Subflow Fwd Pkts,Subflow Bwd Byts,0.8839614441201828
TotLen Bwd Pkts,Subflow Fwd Pkts,0.8839614441201828
Tot Fwd Pkts,Subflow Bwd Byts,0.8839614441201828
Tot Fwd Pkts,TotLen Bwd Pkts,0.8839614441201828
Fwd Pkt Len Max,Pkt Len Max,0.8813962813364408
Fwd Pkt Len Std,Fwd Seg Size Avg,0.8799688089911103
Fwd Pkt Len Mean,Fwd Pkt Len Std,0.8799688089911103
Pkt Len Mean,Pkt Len Std,0.8751103286372736
Active Mean,Active Max,0.8743676896804433
Protocol,Pkt Len Min,0.8691550256423565
Fwd Pkt Len Std,Pkt Len Max,0.8686122089331219
Pkt Len Std,Bwd Seg Size Avg,0.868022806081903
Bwd Pkt Len Mean,Pkt Len Std,0.868022806081903
Fwd Pkt Len Max,Fwd Seg Size Avg,0.8500060406489408
Fwd Pkt Len Max,Fwd Pkt Len Mean,0.8500060406489408
Pkt Len Std,Pkt Size Avg,0.8498908924445242
Protocol,Bwd Pkt Len Min,0.8497743706586434
Protocol,Fwd Pkt Len Min,0.8443973972402462
Flow Duration,Bwd IAT Tot,0.8434257863972762
Fwd IAT Tot,Bwd IAT Tot,0.8378774089569719
Fwd Pkt Len Max,Bwd Pkt Len Max,0.8295048086636367
Fwd Pkt Len Std,Bwd Pkt Len Max,0.8232590833876152
Flow IAT Std,Fwd IAT Std,0.8210363907363368
Bwd Pkt Len Min,Pkt Len Min,0.8162201827306909
Fwd Pkt Len Std,Bwd Pkt Len Std,0.8005835788256087
